,importance
full_balance_transfer,0.542892543979844
balanceDiffOrig,0.11064928139376098
fraction_used,0.05971786541675967
remaining_fraction,0.05078209768512802
newbalanceOrig,0.03336975301481977
origError,0.032530843071432974
destination_balance_changed,0.0316077434779313
transaction_fraction,0.0300933871604156
newbalanceDest,0.02851251664250827
destError,0.023497555264842387
amount,0.010572566191743706
oldbalanceOrg,0.010426272344935627
step,0.010253539544038263
oldbalanceDest,0.007066645085910531
destination_zero_balance,0.004476471241569298
type_TRANSFER,0.0040800571064693635
type_CASH_OUT,0.003746916878780678
is_cash_transfer,0.003477716731977777
balanceDiffDest,0.0016566079553437096
isFlaggedFraud,0.00033563907428191904
origin_balance_changed,0.00012500476684054106
type_CASH_IN,8.436911242067255e-05
type_PAYMENT,2.52461257111978e-05
origin_zero_balance,1.9360535917011656e-05
type_DEBIT,1.9661666473341333e-10
